epoch,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.7972,5.8676,3.3143,0.71191,0.10924,0.0832,0.0315,2.628,2.3754,2.22,0.0033279,0.0033279,0.0033279
2,2.2113,2.2311,1.7521,0.72993,0.216,0.24307,0.11758,1.8963,1.6123,1.5053,0.0066283,0.0066283,0.0066283
3,1.9241,1.679,1.4707,0.82471,0.26427,0.3079,0.16043,1.7267,1.3044,1.3561,0.0098957,0.0098957,0.0098957
4,1.7271,1.3527,1.3487,0.52991,0.38298,0.38707,0.20786,1.5206,1.0748,1.2342,0.0098515,0.0098515,0.0098515
5,1.5998,1.1641,1.2556,0.47833,0.43962,0.42932,0.23771,1.4264,0.96841,1.181,0.0098515,0.0098515,0.0098515
6,1.495,1.0389,1.2197,0.54208,0.49847,0.48373,0.27213,1.3672,0.8999,1.1577,0.009802,0.009802,0.009802
7,1.4588,0.99073,1.1989,0.59576,0.5155,0.51438,0.29403,1.3399,0.87571,1.1461,0.0097525,0.0097525,0.0097525
8,1.4013,0.92395,1.1553,0.63156,0.53423,0.56195,0.32075,1.3082,0.8288,1.1323,0.009703,0.009703,0.009703
9,1.3635,0.88506,1.1491,0.67222,0.54301,0.58129,0.34003,1.2699,0.78288,1.1121,0.0096535,0.0096535,0.0096535
10,1.3303,0.85986,1.1404,0.63391,0.55224,0.57394,0.34311,1.2653,0.7785,1.1176,0.009604,0.009604,0.009604
11,1.312,0.82101,1.1319,0.66689,0.58162,0.60856,0.36353,1.2272,0.72263,1.0959,0.0095545,0.0095545,0.0095545
12,1.3027,0.80383,1.1309,0.71649,0.56676,0.62229,0.37062,1.2304,0.72045,1.0886,0.009505,0.009505,0.009505
13,1.2532,0.77612,1.1094,0.71682,0.58343,0.6366,0.39046,1.2013,0.71344,1.0791,0.0094555,0.0094555,0.0094555
14,1.2645,0.76734,1.1064,0.73746,0.58668,0.64765,0.39024,1.1854,0.69667,1.0732,0.009406,0.009406,0.009406
15,1.2519,0.75932,1.0898,0.7324,0.59825,0.65575,0.40279,1.1792,0.68582,1.0645,0.0093565,0.0093565,0.0093565
16,1.2409,0.75643,1.0801,0.7665,0.59237,0.66146,0.41198,1.1538,0.66263,1.0585,0.009307,0.009307,0.009307
17,1.2398,0.74133,1.0847,0.75739,0.62248,0.67856,0.41933,1.1339,0.64768,1.0494,0.0092575,0.0092575,0.0092575
18,1.2238,0.73596,1.0737,0.76589,0.60229,0.66425,0.41334,1.147,0.66792,1.0552,0.009208,0.009208,0.009208
19,1.2124,0.73323,1.0698,0.77116,0.60953,0.68464,0.42751,1.116,0.63017,1.0417,0.0091585,0.0091585,0.0091585
20,1.2161,0.71677,1.0674,0.77785,0.62661,0.6897,0.43235,1.1052,0.62042,1.0316,0.009109,0.009109,0.009109
21,1.1883,0.69791,1.0582,0.74728,0.64222,0.69659,0.43018,1.1204,0.61838,1.0354,0.0090595,0.0090595,0.0090595
22,1.175,0.69263,1.0515,0.71214,0.66814,0.68626,0.4321,1.1084,0.61872,1.0267,0.00901,0.00901,0.00901
23,1.1812,0.68188,1.0611,0.75163,0.64642,0.69797,0.43886,1.1043,0.60329,1.0316,0.0089605,0.0089605,0.0089605
24,1.1541,0.66684,1.0436,0.75864,0.63651,0.69168,0.43546,1.1016,0.60522,1.0284,0.008911,0.008911,0.008911
25,1.1602,0.67738,1.0499,0.74902,0.65303,0.70523,0.45165,1.0867,0.59503,1.0227,0.0088615,0.0088615,0.0088615
26,1.167,0.67372,1.0485,0.77629,0.65361,0.70765,0.44228,1.0893,0.59273,1.0216,0.008812,0.008812,0.008812
27,1.144,0.65617,1.0432,0.78477,0.65191,0.70802,0.45136,1.0768,0.58373,1.02,0.0087625,0.0087625,0.0087625
28,1.1557,0.66407,1.048,0.7723,0.67404,0.71613,0.45669,1.0788,0.57809,1.0183,0.008713,0.008713,0.008713
29,1.1305,0.64759,1.0309,0.75733,0.67055,0.71652,0.46004,1.0651,0.57,1.0165,0.0086635,0.0086635,0.0086635
30,1.1201,0.64022,1.0306,0.81418,0.64946,0.72672,0.46479,1.065,0.5683,1.0125,0.008614,0.008614,0.008614
31,1.1498,0.64332,1.0377,0.81239,0.6563,0.72012,0.45823,1.0646,0.56548,1.0121,0.0085645,0.0085645,0.0085645
32,1.1098,0.6367,1.0181,0.80153,0.66566,0.72871,0.46505,1.0676,0.5671,1.0123,0.008515,0.008515,0.008515
33,1.1443,0.64255,1.0415,0.77211,0.69504,0.7318,0.47214,1.0546,0.55717,1.0089,0.0084655,0.0084655,0.0084655
34,1.1074,0.63031,1.0194,0.79282,0.6783,0.73169,0.47286,1.0493,0.54935,1.0049,0.008416,0.008416,0.008416
35,1.1015,0.61171,1.0271,0.79604,0.68122,0.73749,0.47965,1.0459,0.54499,1.0041,0.0083665,0.0083665,0.0083665
36,1.118,0.63042,1.0167,0.78808,0.69206,0.74392,0.4807,1.039,0.54009,1.0018,0.008317,0.008317,0.008317
37,1.1058,0.61764,1.0212,0.79739,0.68294,0.73974,0.47813,1.0388,0.5385,1.0014,0.0082675,0.0082675,0.0082675
38,1.0961,0.60548,1.016,0.77697,0.68675,0.73934,0.47701,1.0392,0.53961,0.99904,0.008218,0.008218,0.008218
39,1.1014,0.61047,1.0234,0.79732,0.6931,0.74637,0.48088,1.0306,0.53328,0.99732,0.0081685,0.0081685,0.0081685
40,1.095,0.60097,1.0158,0.78828,0.69895,0.74728,0.48612,1.026,0.52768,0.99624,0.008119,0.008119,0.008119
41,1.0978,0.60472,1.0122,0.78091,0.69071,0.74151,0.48318,1.0262,0.52934,0.99442,0.0080695,0.0080695,0.0080695
42,1.0696,0.58706,1.0037,0.79271,0.69204,0.74328,0.48565,1.0275,0.5242,0.99761,0.00802,0.00802,0.00802
43,1.102,0.59644,1.0167,0.78876,0.68953,0.7436,0.48562,1.0226,0.52441,0.99653,0.0079705,0.0079705,0.0079705
44,1.0909,0.59279,1.0058,0.81942,0.68367,0.75583,0.4914,1.0149,0.52006,0.99091,0.007921,0.007921,0.007921
45,1.0828,0.58615,1.0005,0.76238,0.71441,0.75211,0.49122,1.0167,0.51678,0.99114,0.0078715,0.0078715,0.0078715
46,1.0785,0.58932,1.0056,0.7813,0.70088,0.75322,0.49127,1.0158,0.51296,0.99282,0.007822,0.007822,0.007822
