epoch,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.7988,5.541,3.2139,0.73098,0.12371,0.10741,0.0382,2.5888,2.4786,2.1554,0.0033279,0.0033279,0.0033279
2,2.247,2.2412,1.7958,0.86566,0.2164,0.24741,0.11211,1.9902,1.6556,1.5817,0.0066283,0.0066283,0.0066283
3,1.9494,1.6757,1.5229,0.90507,0.26794,0.32911,0.16466,1.7355,1.354,1.3942,0.0098957,0.0098957,0.0098957
4,1.7514,1.3484,1.4048,0.73624,0.33365,0.40939,0.21788,1.5572,1.0415,1.3065,0.0098515,0.0098515,0.0098515
5,1.6141,1.1643,1.3016,0.53853,0.4546,0.47127,0.25318,1.4759,0.96584,1.256,0.0098515,0.0098515,0.0098515
6,1.5217,1.034,1.2742,0.57388,0.50008,0.51579,0.28351,1.407,0.88257,1.2224,0.009802,0.009802,0.009802
7,1.4867,0.99245,1.2506,0.62599,0.52977,0.54811,0.31201,1.3368,0.83598,1.1899,0.0097525,0.0097525,0.0097525
8,1.4314,0.93265,1.2079,0.67914,0.51975,0.56598,0.31824,1.3218,0.81099,1.1773,0.009703,0.009703,0.009703
9,1.393,0.88941,1.1986,0.69119,0.56645,0.59615,0.34616,1.2819,0.77102,1.1585,0.0096535,0.0096535,0.0096535
10,1.3624,0.86841,1.1916,0.72487,0.5585,0.60627,0.35007,1.2764,0.75683,1.1558,0.009604,0.009604,0.009604
11,1.3396,0.83188,1.1784,0.68944,0.58429,0.61994,0.36085,1.2307,0.72151,1.1365,0.0095545,0.0095545,0.0095545
12,1.3346,0.81972,1.1788,0.70165,0.58554,0.62826,0.36958,1.2421,0.70803,1.1376,0.009505,0.009505,0.009505
13,1.2856,0.79008,1.1596,0.73995,0.59638,0.63912,0.37891,1.2125,0.68763,1.125,0.0094555,0.0094555,0.0094555
14,1.2864,0.77569,1.1518,0.71258,0.57976,0.63147,0.37973,1.2081,0.68673,1.1229,0.009406,0.009406,0.009406
15,1.2894,0.76672,1.1487,0.71965,0.60896,0.66292,0.40275,1.1918,0.66384,1.1175,0.0093565,0.0093565,0.0093565
16,1.2688,0.76143,1.1381,0.75513,0.59507,0.65333,0.39586,1.1762,0.66612,1.1096,0.009307,0.009307,0.009307
17,1.2639,0.74475,1.139,0.72437,0.61514,0.66467,0.39901,1.1751,0.65081,1.1082,0.0092575,0.0092575,0.0092575
18,1.2546,0.7372,1.1385,0.73286,0.61961,0.67062,0.40915,1.1649,0.64661,1.1026,0.009208,0.009208,0.009208
19,1.2413,0.73867,1.1302,0.75895,0.61672,0.67655,0.41302,1.1461,0.62865,1.0947,0.0091585,0.0091585,0.0091585
20,1.2413,0.72118,1.1279,0.71932,0.64793,0.68642,0.42127,1.1404,0.61711,1.0927,0.009109,0.009109,0.009109
21,1.2272,0.69401,1.1232,0.76934,0.61566,0.68969,0.42022,1.143,0.6208,1.0921,0.0090595,0.0090595,0.0090595
22,1.2129,0.70385,1.1215,0.73328,0.63496,0.6854,0.42379,1.1408,0.61825,1.0921,0.00901,0.00901,0.00901
23,1.2123,0.69192,1.1256,0.70757,0.64534,0.67527,0.4207,1.1292,0.61021,1.0868,0.0089605,0.0089605,0.0089605
24,1.1857,0.68169,1.1062,0.79627,0.62634,0.69544,0.43128,1.1212,0.60179,1.0838,0.008911,0.008911,0.008911
25,1.1891,0.68478,1.1142,0.73117,0.66665,0.70279,0.44167,1.1108,0.58582,1.0813,0.0088615,0.0088615,0.0088615
26,1.1964,0.68856,1.1141,0.74662,0.64194,0.69754,0.43254,1.114,0.59649,1.0818,0.008812,0.008812,0.008812
27,1.1779,0.66244,1.1094,0.73758,0.66051,0.70661,0.44608,1.1094,0.5802,1.08,0.0087625,0.0087625,0.0087625
28,1.1859,0.66176,1.115,0.75657,0.66675,0.71246,0.44776,1.0953,0.57345,1.0735,0.008713,0.008713,0.008713
29,1.1626,0.66513,1.0978,0.75477,0.6523,0.70339,0.44345,1.0965,0.57414,1.0713,0.0086635,0.0086635,0.0086635
30,1.1513,0.64891,1.1011,0.76953,0.67132,0.7219,0.45406,1.0934,0.56672,1.0697,0.008614,0.008614,0.008614
31,1.1807,0.64717,1.1025,0.7967,0.65303,0.72013,0.45631,1.0872,0.56112,1.0712,0.0085645,0.0085645,0.0085645
32,1.144,0.64462,1.0835,0.79229,0.65936,0.71781,0.44863,1.0909,0.56318,1.0706,0.008515,0.008515,0.008515
33,1.1791,0.65601,1.1101,0.78109,0.6713,0.72207,0.45388,1.0875,0.56132,1.0684,0.0084655,0.0084655,0.0084655
34,1.1395,0.63948,1.0808,0.77475,0.66655,0.72094,0.459,1.075,0.54986,1.064,0.008416,0.008416,0.008416
